id,pNumber,mNumber,alpha,beta
IPI00229543.3;IPI00221463.3;IPI00265761.6;IPI00229545.3;IPI00229544.3,1.121955755e8,,,
IPI00624840.2;IPI00623776.3;IPI00624933.1;IPI00844736.1;IPI00329998.3;IPI00621374.1;IPI00621789.1;IPI00874920.1;IPI00876005.1;IPI00407339.7,1.142767559e8,,,
IPI00110850.1;IPI00473320.2;IPI00874780.1;IPI00857335.1;IPI00754167.2;IPI00454053.7,1.201243583e8,2187.76,182.3,1895.55
IPI00348270.3;IPI00124518.3,8.423517988e7,,,
IPI00282848.1;IPI00230730.4;IPI00659000.1;IPI00886422.1;IPI00831580.1,5.986542567e7,,,
IPI00470152.2;IPI00755353.2;IPI00660718.1;IPI00342013.3;IPI00890072.1,3.395867377e7,12.79,1.13,224528.75
IPI00307837.6;IPI00831365.1;IPI00831184.1;IPI00849577.1,3.563217798e7,3229.54,196.89,319.13
IPI00124096.1;IPI00918751.1,2.437155419e7,1825.51,118.28,375.96
IPI00229517.5,2.419041604e7,2247.05,172.73,277.1
IPI00223713.5,1.804888506e7,4.31,0.86,147337.15
IPI00468203.3;IPI00605518.1;IPI00885292.1;IPI00885367.1,2.458552619e7,630.69,42.27,1034.12
IPI00849530.1;IPI00848801.1;IPI00850432.1,2.837297834e7,,,
IPI00131459.1;IPI00649586.1;IPI00551485.1;IPI00854035.1,1.714084833e7,145.85,10.14,3234.07
IPI00890117.1;IPI00848816.1;IPI00407543.2;IPI00409405.2,2.072841095e7,729.82,50.51,956.61
IPI00323357.3;IPI00886297.1;IPI00457741.4;IPI00886370.1;IPI00885277.1;IPI00668185.1;IPI00930873.1,2.208769594e7,,27.03,
IPI00224740.6;IPI00650039.1,2.030035821e7,692.25,44.6,864.81
IPI00117352.1,2.801024508e7,395.89,28.39,2019.85
IPI00462072.3;IPI00648821.1;IPI00473227.1;IPI00849751.1;IPI00889980.1;IPI00649376.1,2.353441654e7,,11.64,
IPI00553777.2;IPI00889986.1;IPI00620806.3;IPI00469298.7,1.714985828e7,,,
IPI00555113.2,1.441414893e7,408.9,24.37,1027.75
IPI00322562.5;IPI00663582.1;IPI00895514.1;IPI00895455.1,1.116755975e7,341.76,22.71,867.99
IPI00554989.3;IPI00755515.1;IPI00874996.1,1.747941794e7,,,
IPI00225634.6;IPI00554850.2;IPI00473415.1;IPI00120475.1;IPI00116908.1,1.139004753e7,,,
IPI00407130.4,1.724275684e7,1089.96,59.42,452.05
IPI00555055.3;IPI00919098.1;IPI00331734.5;IPI00320149.2;IPI00918450.1;IPI00651852.1,1.082499216e7,10.94,0.62,29040.14
IPI00108125.4;IPI00648714.1;IPI00850758.1;IPI00848526.1,1.508991044e7,437.32,33.22,1280.13
IPI00110753.1;IPI00466390.1;IPI00473667.1,2.295226695e7,,,
IPI00134621.3;IPI00126133.1,1.361474582e7,165.94,10.76,2549.02
IPI00116498.1;IPI00853851.1;IPI00473203.1;IPI00776377.1;IPI00775847.1,1.535663158e7,72.15,6.06,6288.32
IPI00323819.3;IPI00122010.1,9.54131771e6,445.93,37.74,580.2
IPI00137735.1;IPI00848593.1;IPI00115992.1;IPI00850188.1;IPI00677917.1;IPI00605858.2;IPI00461419.2;IPI00755670.2;IPI00661810.3,1.095957392e7,11.34,2.72,27023.56
IPI00229080.7;IPI00830562.2;,1.623295345e7,898.58,52.09,585.01
IPI00136984.1;IPI00666161.1;IPI00850934.1;IPI00850039.1;IPI00349458.5;IPI00344904.5,1.164443686e7,68.8,4.51,4765.08
IPI00118384.1;IPI00885651.1;IPI00828266.2,1.449928301e7,248.6,15.02,1662.76
IPI00224505.7;IPI00134097.1;IPI00653474.1;IPI00890196.1,9.52256093e6,,,
IPI00123604.4;IPI00622968.1;IPI00659629.1;IPI00606764.1,1.599445533e7,,,
IPI00330363.8;IPI00622160.3;IPI00462453.4;IPI00354363.3;IPI00265107.4;IPI00462006.3;IPI00278580.6;IPI00461356.1;IPI00875556.1;IPI00661216.1;IPI00849084.1,1.03342366e7,,50.76,
IPI00474637.4;IPI00849598.1;IPI00775915.1;IPI00915054.1;IPI00112024.2,9.17273827e6,,,
IPI00751369.1;IPI00319994.6;IPI00756114.1;IPI00754398.1;IPI00467457.3;IPI00881151.1;IPI00881267.1,1.368144751e7,388.36,19.69,988.39
IPI00317590.5;IPI00851049.1;IPI00620156.1;IPI00474174.1;IPI00275455.2;IPI00268802.1;IPI00111248.1;IPI00381655.4;IPI00669224.2;IPI00377406.5,9.98984701e6,,,
IPI00137787.3,8.07048926e6,1517.9,102.56,157.6
IPI00122421.5;IPI00623893.2;IPI00648920.2,1.196632812e7,,,
IPI00331092.7;IPI00752798.2;IPI00471047.2;IPI00116049.1,1.013699997e7,,160.43,
IPI00465880.4;IPI00277965.3;IPI00938493.1;IPI00850702.1;IPI00756610.2,1.164751906e7,,,
IPI00308885.6;IPI00845678.1;IPI00830313.1;IPI00830195.2;IPI00749932.1;IPI00853695.1,1.18506298e7,230.35,24.26,1266.41
IPI00118676.3;IPI00929797.1;IPI00857870.1;IPI00857990.1,1.25493288e7,138.56,19.17,3400.95
IPI00121788.1;IPI00648615.3;IPI00648105.1;IPI00848536.1;IPI00605254.5;IPI00649645.1;IPI00853723.1,1.253769841e7,182.57,12.04,1862.04
IPI00139795.2;IPI00742383.1,1.194159322e7,,,
IPI00230623.8;IPI00889220.2;IPI00128267.4;IPI00113884.4,7.14496973e6,812.49,54.46,240.36
IPI00420726.3;IPI00856235.1;IPI00918411.1;IPI00880750.1;IPI00857782.1;IPI00858267.1,1.008463481e7,583.5,38.84,475.09
IPI00230133.5,7.31974587e6,,,
IPI00420261.5;IPI00665601.1;IPI00458851.2;IPI00753905.3;IPI00761360.1;IPI00853656.1;IPI00621282.3;IPI00752229.2;IPI00848872.1;IPI00849249.1;IPI00461809.1;IPI00554889.1;IPI00229570.1;IPI00664560.2;IPI00377392.3;IPI00848984.1;IPI00330925.1;IPI00674535.1,8.42797011e6,,,
IPI00230427.5;IPI00606310.1;IPI00122073.1;IPI00671402.1,9.12243242e6,1077.67,52.14,217.47
IPI00132460.1;IPI00649136.1;IPI00880492.1;IPI00874521.1;IPI00118166.1;IPI00474008.2;IPI00918226.1;IPI00756343.3;IPI00845657.1;IPI00227190.8,7.25539735e6,675.81,54.62,305.6
IPI00620256.3;IPI00400300.1;IPI00230435.1;IPI00886130.1,9.69620657e6,238.28,13.91,1277.63
IPI00263879.4;IPI00625702.1;IPI00120674.2;IPI00668025.2;IPI00886087.1,9.63199131e6,,,
IPI00880252.1;IPI00114733.1;IPI00880972.1;IPI00123306.2,1.733233528e7,444.32,22.86,1100.35
IPI00269661.1;IPI00459722.2;IPI00677689.3,8.543047e6,,2.43,
IPI00134599.1;IPI00856866.1,1.033850654e7,314.71,15.25,913.95
